PERSON ID,Source,Label,Target,OTHER NAMES,ETHNICITY/NATIONALITY,PHYSICAL DESCRIPTORS,LOCATION(S)
P1,MOLIA,MOTHER OF,SILVIA,"COOBAH

CUBBAH",EBO,"4'6 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)

BRAND ON HER FOREHEAD (1770)

CHAIN/COLLAR MARKS AND SCARS ON HER NECK/SHOULDERS

SCARS FROM REPEATED FLOGGINGS","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1774)"
P1,MOLIA,HOUSEMATE OF,PEGGY,"COOBAH

CUBBAH",EBO,"4'6 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)

BRAND ON HER FOREHEAD (1770)

CHAIN/COLLAR MARKS AND SCARS ON HER NECK/SHOULDERS

SCARS FROM REPEATED FLOGGINGS","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1774)"
P1,MOLIA,SHIPMATE OF,SHIPMATE,"COOBAH

CUBBAH",EBO,"4'6 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)

BRAND ON HER FOREHEAD (1770)

CHAIN/COLLAR MARKS AND SCARS ON HER NECK/SHOULDERS

SCARS FROM REPEATED FLOGGINGS","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1774)"
P1,MOLIA,IGBO ,OGO,"COOBAH

CUBBAH",EBO,"4'6 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)

BRAND ON HER FOREHEAD (1770)

CHAIN/COLLAR MARKS AND SCARS ON HER NECK/SHOULDERS

SCARS FROM REPEATED FLOGGINGS","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1774)"
P1,MOLIA,CAREGIVER OF/FOR,ABBA,"COOBAH

CUBBAH",EBO,"4'6 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)

BRAND ON HER FOREHEAD (1770)

CHAIN/COLLAR MARKS AND SCARS ON HER NECK/SHOULDERS

SCARS FROM REPEATED FLOGGINGS","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1774)"
P1,MOLIA,GARDENER,,"COOBAH

CUBBAH",EBO,"4'6 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)

BRAND ON HER FOREHEAD (1770)

CHAIN/COLLAR MARKS AND SCARS ON HER NECK/SHOULDERS

SCARS FROM REPEATED FLOGGINGS","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1774)"
P2,SILVIA,DAUGHTER OF,MOLIA,0,"HALF EBO
MOST LIKELY MIXED RACE",FAIRSKINNED;'MULATTO' (1766),"EGYPT ESTATE (1766)

BREADNUT ISLAND PEN (1767-1768)"
P3,EGYPT LUCY,MOTHER OF,JULINA,0,?,0,EGYPT ESTATE (1750-1772)
P3,EGYPT LUCY,MOTHER OF,LITTLE QUASHE,0,?,0,EGYPT ESTATE (1750-1772)
P3,EGYPT LUCY,FRIEND OF,PHIBBAH,0,?,0,EGYPT ESTATE (1750-1772)
P3,EGYPT LUCY,FRIEND OF,NANCY,0,?,0,EGYPT ESTATE (1750-1772)
P3,EGYPT LUCY,FRIEND OF,HOUSE FRANKE,0,?,0,EGYPT ESTATE (1750-1772)
P3,EGYPT LUCY,FRIEND OF,VINE,0,?,0,EGYPT ESTATE (1750-1772)
P3,EGYPT LUCY,BUSINESS PARTNER OF,PHIBBAH,0,?,0,EGYPT ESTATE (1750-1772)
P3,EGYPT LUCY,BUSINESS PARTNER OF,HOUSE FRANKE,0,?,0,EGYPT ESTATE (1750-1772)
